name,runner_start_mode,fake_attestation,big_job,use_real_runner,target,path,input_set,target_label,runner_start_mode_label,timestamp_webhook,timestamp_enclave_started,timestamp_enclave_connected,timestamp_config_done,timestamp_pre_checkout,timestamp_post_checkout,timestamp_build_start,timestamp_post_configure,timestamp_post_make,timestamp_post_make_check,timestamp_build_end,timestamp_artifact_ready,build_duration,configure_duration,make_duration,make_check_duration,e2e_duration,checkout_duration,memory_allocation_duration,enclave_boot_duration,runner_config_duration,runner_readiness_duration
project_clang_local_direct_1,local_direct,True,True,True,project_clang,scenario_full_big/evaluation_2025-04-10_21-57-21,big,Clang (18.1.3),H,0.0,0.001,0.102,4.022,10.153274,149.171146,149.227134,198.172967,2987.477469,2987.49957,2987.508346,2987.477469,2838.2503349999997,48.94583299999999,2789.304502,0.022101000000020576,2987.477469,139.01787199999998,0.001,0.10099999999999999,3.9200000000000004,4.022
project_clang_local_sandbox_1,local_sandbox,True,True,True,project_clang,scenario_full_big/evaluation_2025-04-10_21-57-21,big,Clang (18.1.3),HS,0.0,0.001,0.103,4.271,10.957385,155.341309,155.391611,203.998213,3451.850806,3451.868198,3451.87485,3451.850806,3296.459195,48.60660199999998,3247.852593,0.017392000000199914,3451.850806,144.383924,0.001,0.102,4.168,4.271
project_clang_enclave_direct_1,enclave_direct,False,True,True,project_clang,scenario_full_big/evaluation_2025-04-10_21-57-21,big,Clang (18.1.3),E,0.0,70.894,74.001,77.753,84.283162,223.260361,223.317982,259.934278,3512.700135,3512.717535,3512.722499,3512.700135,3289.382153,36.616296000000006,3252.765857,0.017400000000179716,3512.700135,138.97719899999998,70.894,3.1069999999999993,3.7519999999999953,77.753
project_clang_enclave_sandbox_1,enclave_sandbox,False,True,True,project_clang,scenario_full_big/evaluation_2025-04-10_21-57-21,big,Clang (18.1.3),ES,0.0,46.519,55.636,59.809,66.351037,197.277487,197.328707,232.922506,4037.32337,4037.341308,4037.345302,4037.32337,3839.994663,35.59379899999999,3804.400864,0.017937999999958265,4037.32337,130.92645,46.519,9.117000000000004,4.172999999999995,59.809
project_clang_enclave_sandbox_plus_1,enclave_sandbox_plus,False,True,True,project_clang,scenario_full_big/evaluation_2025-04-10_21-57-21,big,Clang (18.1.3),ES+,0.0,46.426,55.54,60.717,69.524437,185.563568,185.729277,300.284311,5049.183198,5049.268688,5049.300416,5049.183198,4863.453920999999,114.555034,4748.898886999999,0.08549000000039086,5049.183198,116.039131,46.426,9.113999999999997,5.177,60.717
project_kernel_local_direct_1,local_direct,True,True,True,project_kernel,scenario_full_big/evaluation_2025-04-10_21-57-21,big,"Kernel (6.8.0, gcc)",H,0.0,0.001,0.103,3.602,10.070381,97.881114,97.920508,103.257133,342.265218,342.2871,342.295895,342.265218,244.34471000000002,5.336624999999998,239.008085,0.021882000000005064,342.265218,87.810733,0.001,0.102,3.4989999999999997,3.602
project_kernel_local_sandbox_1,local_sandbox,True,True,True,project_kernel,scenario_full_big/evaluation_2025-04-10_21-57-21,big,"Kernel (6.8.0, gcc)",HS,0.0,0.0,0.101,4.318,10.84655,96.724846,96.761619,102.387051,374.638598,374.65617,374.6628,374.638598,277.876979,5.6254320000000035,272.251547,0.01757199999997283,374.638598,85.878296,0.0,0.101,4.217,4.318
project_kernel_enclave_direct_1,enclave_direct,False,True,True,project_kernel,scenario_full_big/evaluation_2025-04-10_21-57-21,big,"Kernel (6.8.0, gcc)",E,0.0,70.868,73.976,77.819,84.410962,153.7969,153.84016,158.646301,402.898399,402.916502,402.921492,402.898399,249.058239,4.806140999999997,244.252098,0.018102999999996428,402.898399,69.385938,70.868,3.108000000000004,3.8430000000000035,77.819
project_kernel_enclave_sandbox_1,enclave_sandbox,False,True,True,project_kernel,scenario_full_big/evaluation_2025-04-10_21-57-21,big,"Kernel (6.8.0, gcc)",ES,0.0,46.499,55.614,59.344,65.78597,134.174316,134.212193,139.193987,423.204136,423.220546,423.224782,423.204136,288.991943,4.981793999999979,284.010149,0.016410000000007585,423.204136,68.388346,46.499,9.114999999999995,3.730000000000004,59.344
project_kernel_enclave_sandbox_plus_1,enclave_sandbox_plus,False,True,True,project_kernel,scenario_full_big/evaluation_2025-04-10_21-57-21,big,"Kernel (6.8.0, gcc)",ES+,0.0,46.438,55.553,61.685,70.201957,161.130548,161.244444,170.81794,703.543545,703.630419,703.663412,703.543545,542.2991010000001,9.573496000000006,532.725605,0.08687399999996614,703.543545,90.92859100000001,46.438,9.114999999999995,6.132000000000005,61.685
project_kernel_llvm_local_direct_1,local_direct,True,True,True,project_kernel_llvm,scenario_full_big/evaluation_2025-04-10_21-57-21,big,"Kernel (6.8.0, clang)",H,0.0,0.001,0.102,3.972,10.379477,90.483972,90.522541,97.970104,509.159703,509.179686,509.188794,509.159703,418.637162,7.447563000000002,411.189599,0.01998300000002473,509.159703,80.104495,0.001,0.10099999999999999,3.87,3.972
