name,runner_start_mode,fake_attestation,big_job,use_real_runner,target
project_clang_local_direct_1,local_direct,true,true,true,project_clang@project_clang
project_clang_local_sandbox_1,local_sandbox,true,true,true,project_clang@project_clang
project_clang_enclave_direct_1,enclave_direct,false,true,true,project_clang@project_clang
project_clang_enclave_sandbox_1,enclave_sandbox,false,true,true,project_clang@project_clang
project_clang_enclave_sandbox_plus_1,enclave_sandbox_plus,false,true,true,project_clang@project_clang
project_kernel_local_direct_1,local_direct,true,true,true,project_kernel@project_kernel
project_kernel_local_sandbox_1,local_sandbox,true,true,true,project_kernel@project_kernel
project_kernel_enclave_direct_1,enclave_direct,false,true,true,project_kernel@project_kernel
project_kernel_enclave_sandbox_1,enclave_sandbox,false,true,true,project_kernel@project_kernel
project_kernel_enclave_sandbox_plus_1,enclave_sandbox_plus,false,true,true,project_kernel@project_kernel
project_kernel_llvm_local_direct_1,local_direct,true,true,true,project_kernel_llvm@project_kernel_llvm
project_kernel_llvm_local_sandbox_1,local_sandbox,true,true,true,project_kernel_llvm@project_kernel_llvm
project_kernel_llvm_enclave_direct_1,enclave_direct,false,true,true,project_kernel_llvm@project_kernel_llvm
project_kernel_llvm_enclave_sandbox_1,enclave_sandbox,false,true,true,project_kernel_llvm@project_kernel_llvm
project_kernel_llvm_enclave_sandbox_plus_1,enclave_sandbox_plus,false,true,true,project_kernel_llvm@project_kernel_llvm
