name,runner_start_mode,fake_attestation,big_job,use_real_runner,target
project_gprolog_local_direct_1,local_direct,true,false,true,project_gprolog@project_gprolog
project_gprolog_local_sandbox_1,local_sandbox,true,false,true,project_gprolog@project_gprolog
project_gprolog_enclave_direct_1,enclave_direct,false,false,true,project_gprolog@project_gprolog
project_gprolog_enclave_sandbox_1,enclave_sandbox,false,false,true,project_gprolog@project_gprolog
project_gprolog_enclave_sandbox_plus_1,enclave_sandbox_plus,false,false,true,project_gprolog@project_gprolog
project_hello_local_direct_1,local_direct,true,false,true,project_hello@project_hello
project_hello_local_sandbox_1,local_sandbox,true,false,true,project_hello@project_hello
project_hello_enclave_direct_1,enclave_direct,false,false,true,project_hello@project_hello
project_hello_enclave_sandbox_1,enclave_sandbox,false,false,true,project_hello@project_hello
project_hello_enclave_sandbox_plus_1,enclave_sandbox_plus,false,false,true,project_hello@project_hello
project_ipxe_local_direct_1,local_direct,true,false,true,project_ipxe@project_ipxe
project_ipxe_local_sandbox_1,local_sandbox,true,false,true,project_ipxe@project_ipxe
project_ipxe_enclave_direct_1,enclave_direct,false,false,true,project_ipxe@project_ipxe
project_ipxe_enclave_sandbox_1,enclave_sandbox,false,false,true,project_ipxe@project_ipxe
project_ipxe_enclave_sandbox_plus_1,enclave_sandbox_plus,false,false,true,project_ipxe@project_ipxe
project_menu_local_direct_1,local_direct,true,false,true,project_menu@project_menu
project_menu_local_sandbox_1,local_sandbox,true,false,true,project_menu@project_menu
project_menu_enclave_direct_1,enclave_direct,false,false,true,project_menu@project_menu
project_menu_enclave_sandbox_1,enclave_sandbox,false,false,true,project_menu@project_menu
project_menu_enclave_sandbox_plus_1,enclave_sandbox_plus,false,false,true,project_menu@project_menu
project_scheme48_local_direct_1,local_direct,true,false,true,project_scheme48@project_scheme48
project_scheme48_local_sandbox_1,local_sandbox,true,false,true,project_scheme48@project_scheme48
project_scheme48_enclave_direct_1,enclave_direct,false,false,true,project_scheme48@project_scheme48
project_scheme48_enclave_sandbox_1,enclave_sandbox,false,false,true,project_scheme48@project_scheme48
project_scheme48_enclave_sandbox_plus_1,enclave_sandbox_plus,false,false,true,project_scheme48@project_scheme48
project_neovim_local_direct_1,local_direct,true,false,true,project_neovim@project_neovim
project_neovim_local_sandbox_1,local_sandbox,true,false,true,project_neovim@project_neovim
project_neovim_enclave_direct_1,enclave_direct,false,false,true,project_neovim@project_neovim
project_neovim_enclave_sandbox_1,enclave_sandbox,false,false,true,project_neovim@project_neovim
project_neovim_enclave_sandbox_plus_1,enclave_sandbox_plus,false,false,true,project_neovim@project_neovim
project_gprolog_local_direct_2,local_direct,true,false,true,project_gprolog@project_gprolog
project_gprolog_local_sandbox_2,local_sandbox,true,false,true,project_gprolog@project_gprolog
project_gprolog_enclave_direct_2,enclave_direct,false,false,true,project_gprolog@project_gprolog
project_gprolog_enclave_sandbox_2,enclave_sandbox,false,false,true,project_gprolog@project_gprolog
project_gprolog_enclave_sandbox_plus_2,enclave_sandbox_plus,false,false,true,project_gprolog@project_gprolog
project_hello_local_direct_2,local_direct,true,false,true,project_hello@project_hello
project_hello_local_sandbox_2,local_sandbox,true,false,true,project_hello@project_hello
project_hello_enclave_direct_2,enclave_direct,false,false,true,project_hello@project_hello
project_hello_enclave_sandbox_2,enclave_sandbox,false,false,true,project_hello@project_hello
project_hello_enclave_sandbox_plus_2,enclave_sandbox_plus,false,false,true,project_hello@project_hello
project_ipxe_local_direct_2,local_direct,true,false,true,project_ipxe@project_ipxe
project_ipxe_local_sandbox_2,local_sandbox,true,false,true,project_ipxe@project_ipxe
project_ipxe_enclave_direct_2,enclave_direct,false,false,true,project_ipxe@project_ipxe
project_ipxe_enclave_sandbox_2,enclave_sandbox,false,false,true,project_ipxe@project_ipxe
project_ipxe_enclave_sandbox_plus_2,enclave_sandbox_plus,false,false,true,project_ipxe@project_ipxe
project_menu_local_direct_2,local_direct,true,false,true,project_menu@project_menu
project_menu_local_sandbox_2,local_sandbox,true,false,true,project_menu@project_menu
project_menu_enclave_direct_2,enclave_direct,false,false,true,project_menu@project_menu
project_menu_enclave_sandbox_2,enclave_sandbox,false,false,true,project_menu@project_menu
project_menu_enclave_sandbox_plus_2,enclave_sandbox_plus,false,false,true,project_menu@project_menu
project_scheme48_local_direct_2,local_direct,true,false,true,project_scheme48@project_scheme48
project_scheme48_local_sandbox_2,local_sandbox,true,false,true,project_scheme48@project_scheme48
